sim,n_uas,comms_level,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000044,7,1,0.6766666666666666,0.6766666666666666,996.93,613.1970443349753,1.67,4.873333333333333,9.33,1.4033333333333333,0.15181818181818182,0.8122222222222221,3.945277777777778,996.93,0.766712834660802,300,13242
sim-000045,7,2,0.6266666666666667,0.6266666666666667,1056.2,613.0851063829788,1.7966666666666666,4.93,9.203333333333333,1.3366666666666667,0.16333333333333333,0.8216666666666667,3.739444444444444,1056.2,0.7365576846901556,300,13542
sim-000046,7,3,0.67,0.67,1004.8633333333333,613.2288557213931,1.6833333333333333,4.933333333333334,9.316666666666666,1.4166666666666667,0.15303030303030302,0.8222222222222223,3.884444444444445,1004.8633333333333,0.6468981198786525,300,13842
sim-000047,7,4,0.5033333333333333,0.5033333333333333,1202.9333333333334,613.774834437086,2.3466666666666667,4.416666666666667,8.653333333333334,1.1133333333333333,0.21333333333333332,0.736111111111111,2.9130555555555553,1202.9333333333334,0.5500104747759147,300,14142
sim-000048,7,5,0.3566666666666667,0.3566666666666667,1377.2266666666667,614.6542056074767,2.8933333333333335,3.54,8.106666666666667,0.7866666666666666,0.263030303030303,0.59,1.9830555555555558,1377.2266666666667,0.39604098646926594,300,14442
sim-000049,8,0,0.8,0.8,846.93,608.6625,1.5233333333333334,5.123333333333333,10.476666666666667,1.8,0.12694444444444442,0.8538888888888889,4.104722222222222,846.93,0.790972175070995,300,14742
sim-000050,8,1,0.7766666666666666,0.7766666666666666,874.8466666666667,608.8154506437768,1.59,4.943333333333333,10.41,1.7766666666666666,0.1325,0.8238888888888889,3.9352777777777783,874.8466666666667,0.7582164743863344,300,15042
sim-000051,8,2,0.7633333333333333,0.7633333333333333,891.48,609.7991266375545,1.75,4.99,10.25,1.7633333333333334,0.14583333333333334,0.8316666666666667,3.7422222222222223,891.48,0.7229567897415349,300,15342
sim-000052,8,3,0.6766666666666666,0.6766666666666666,994.3266666666667,609.3497536945813,2.0,4.46,10.0,1.6766666666666667,0.16666666666666666,0.7433333333333333,3.354722222222222,994.3266666666667,0.6569555736279168,300,15642
sim-000053,8,4,0.64,0.64,1038.0766666666666,609.4947916666666,2.1733333333333333,4.3566666666666665,9.826666666666666,1.64,0.18111111111111108,0.726111111111111,3.0416666666666665,1038.0766666666666,0.5410185708306294,300,15942
sim-000054,8,5,0.52,0.52,1181.68,610.9230769230769,2.82,3.5,9.18,1.52,0.235,0.5833333333333334,2.0091666666666668,1181.68,0.3879737273995201,300,16242
